Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
118,"1086,832","07-12-2018 08:53:16,599","1026,7378",2,1,"1,50010871887207","3,67516899108887","0,427714765071869",0,"1,5288565158844",0,,,"0,000199317932128906",,"35,288215637207","34,7485580444336"
119,"1096,8334","07-12-2018 08:53:26,600","1036,7392",2,1,"1,50012969970703","3,67699337005615","0,431880086660385",0,"1,54416871070862",0,,,"0,000152587890625",,"35,2669718005434","34,7826957702637"
120,"1106,8334","07-12-2018 08:53:36,600","1046,7392",2,1,"1,50011444091797","3,67880439758301","0,436048477888107",0,"1,55949974060059",0,,,"0,000200271606445313",,"35,3031349182129","34,7211990356445"
121,"1116,8337","07-12-2018 08:53:46,601","1056,7395",2,1,"1,50011444091797","3,6805534362793","0,440214097499847",0,"1,57482779026032",0,,,"0,000182151794433594",,"35,2575988769531","34,7403907775879"
122,"1126,8365","07-12-2018 08:53:56,603","1066,7423",2,1,"1,50011444091797","3,68231105804443","0,444381088018417",0,"1,59016835689545",0,,,"0,000164985656738281",,"35,2865406957703","34,7550964355469"
123,"1136,8391","07-12-2018 08:54:06,606","1076,7449",2,1,"1,5001106262207","3,68409633636475","0,448548167943954",0,"1,60551655292511",0,,,"0,000202178955078125",,"35,2855911254883","34,7459716796875"
124,"1146,8408","07-12-2018 08:54:16,608","1086,7466",2,1,"1,50013160705566","3,68580722808838","0,452716499567032",0,"1,62087666988373",0,,,"0,000177383422851563",,"35,2664644246329","34,7962455749512"
125,"1156,847","07-12-2018 08:54:26,614","1096,7528",2,1,"1,50012016296387","3,68755722045898","0,45688608288765",0,"1,63624846935272",0,,,"0,000148773193359375",,"35,2883796414054","34,7331390380859"
126,"1166,8485","07-12-2018 08:54:36,615","1106,7543",2,1,"1,50014114379883","3,68927574157715","0,461053192615509",0,"1,65161859989166",0,,,"0,000186920166015625",,"35,2291379852039","34,6907958984375"
127,"1176,8496","07-12-2018 08:54:46,617","1116,7554",2,1,"1,50010108947754","3,69100093841553","0,465220272541046",0,"1,66699576377869",0,,,"0,000180244445800781",,"35,2683372497559","34,7158393859863"
128,"1186,8506","07-12-2018 08:54:56,618","1126,7564",2,1,"1,50010871887207","3,69280242919922","0,469387203454971",0,"1,68237972259521",0,,,"0,0002288818359375",,"35,2592240291114","34,8022994995117"
129,"1196,8545","07-12-2018 08:55:06,621","1136,7603",2,1,"1,50011253356934","3,69453716278076","0,473555356264114",0,"1,69777548313141",0,,,"0,000174522399902344",,"35,2531394958496","34,7625770568848"
